Textbox_value,Field1,Player,player_url,name,age,position,height_cm,weight_kg,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS_,AerialsWon,MotM,Rating
19793,Premier League - 2021/2022,	1,https://www.whoscored.com/Players/5583/Show/Cristiano-Ronaldo,Cristiano Ronaldo,38,",  M(L),FW  ",187,83,27(3),2459	,18	,3	,8	,-	,3.7	,81.9	,1.4	,5	,7.11
19793,Premier League - 2021/2022,	2,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,35(1),3120	,10	,6	,10	,-	,2.5	,78.3	,0.5	,3	,7.03
19793,Premier League - 2021/2022,	3,https://www.whoscored.com/Players/97752/Show/Paul-Pogba,Paul Pogba,30,",  M(CL)  ",191,84,16(4),1355	,1	,9	,7	,1	,1.6	,83.5	,1.8	,1	,7.00
19793,Premier League - 2021/2022,	4,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,16(2),1281	,5	,1	,1	,-	,2.7	,83.8	,0.2	,-	,6.98
19793,Premier League - 2021/2022,	5,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,20,1794	,-	,-	,2	,-	,0.3	,81	,1	,1	,6.91
19793,Premier League - 2021/2022,	6,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,28(2),2393	,1	,1	,9	,-	,0.9	,85.6	,2.3	,2	,6.89
19793,Premier League - 2021/2022,	7,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,18(3),1660	,-	,4	,1	,-	,0.5	,80.3	,1.4	,-	,6.89
19793,Premier League - 2021/2022,	8,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,24(4),2036	,4	,4	,5	,-	,0.5	,84.1	,0.5	,2	,6.87
19793,Premier League - 2021/2022,	9,https://www.whoscored.com/Players/353418/Show/Diogo-Dalot,Diogo Dalot,24,",  D(LR),M(R)  ",183,76,19(5),1799	,-	,-	,4	,-	,0.5	,80.2	,1.2	,1	,6.86
19793,Premier League - 2021/2022,	10,https://www.whoscored.com/Players/93206/Show/Rapha%C3%ABl-Varane,Raphaël Varane,30,",  D(C)  ",191,81,20(2),1829	,1	,1	,-	,-	,0.4	,87.8	,2.5	,1	,6.78
19793,Premier League - 2021/2022,	11,https://www.whoscored.com/Players/346300/Show/Jadon-Sancho,Jadon Sancho,23,",  AM(CLR)  ",180,76,20(9),1904	,3	,3	,-	,-	,0.9	,83.5	,0.1	,1	,6.66
19793,Premier League - 2021/2022,	12,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,28(2),2514	,1	,-	,7	,1	,0.8	,86.4	,2.5	,-	,6.65
19793,Premier League - 2021/2022,	13,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,38,3420	,-	,-	,-	,-	,-	,68.9	,0.2	,1	,6.64
19793,Premier League - 2021/2022,	14,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,19(1),1603	,-	,3	,8	,-	,0.3	,84.1	,1	,-	,6.64
19793,Premier League - 2021/2022,	15,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,16(7),1384	,-	,4	,3	,-	,0.3	,87.1	,1.2	,-	,6.63
19793,Premier League - 2021/2022,	16,https://www.whoscored.com/Players/413211/Show/Anthony-Elanga,Anthony Elanga,21,",  AM(LR)  ",178,70,14(7),1217	,2	,2	,-	,-	,1	,78.2	,1.1	,-	,6.56
19793,Premier League - 2021/2022,	17,https://www.whoscored.com/Players/302313/Show/Dan-James,Dan James,25,",  AM(CLR),FW  ",171,63,2,128	,-	,-	,-	,-	,2	,69	,0.5	,-	,6.53
19793,Premier League - 2021/2022,	18,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,26(2),2355	,-	,2	,4	,-	,0.1	,87.8	,1.9	,-	,6.50
19793,Premier League - 2021/2022,	19,https://www.whoscored.com/Players/81726/Show/Phil-Jones,Phil Jones,31,",  D(CR),DMC  ",180,71,2(2),163	,-	,-	,-	,-	,-	,87.7	,0.5	,-	,6.42
19793,Premier League - 2021/2022,	20,https://www.whoscored.com/Players/24328/Show/Edinson-Cavani,Edinson Cavani,36,",  AM(LR),FW  ",184,71,7(8),765	,2	,1	,-	,-	,1.2	,76.1	,0.5	,-	,6.40
19793,Premier League - 2021/2022,	21,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,13(12),1233	,4	,2	,2	,-	,0.9	,76.1	,0.4	,-	,6.35
19793,Premier League - 2021/2022,	22,https://www.whoscored.com/Players/25363/Show/Juan-Mata,Juan Mata,35,",  AM(CLR)  ",170,63,2(5),232	,-	,-	,-	,-	,0.7	,88.9	,-	,-	,6.31
19793,Premier League - 2021/2022,	23,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,2(6),210	,1	,-	,-	,-	,0.6	,81.7	,0.5	,-	,6.31
19793,Premier League - 2021/2022,	24,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,0(8),69	,1	,-	,-	,-	,0.3	,78.8	,0.1	,-	,6.30
19793,Premier League - 2021/2022,	25,https://www.whoscored.com/Players/243814/Show/Eric-Bailly,Eric Bailly,29,",  D(CR)  ",187,77,3(1),218	,-	,-	,1	,-	,-	,80	,1.5	,-	,6.28
19793,Premier League - 2021/2022,	26,https://www.whoscored.com/Players/109000/Show/Jesse-Lingard,Jesse Lingard,30,",  AM(CLR),FW  ",175,62,2(14),356	,2	,-	,1	,-	,0.5	,88.3	,-	,-	,6.24
19793,Premier League - 2021/2022,	27,https://www.whoscored.com/Players/410512/Show/Shola-Shoretire,Shola Shoretire,19,",  AM(C),FW  ",170,0,0(1),16	,-	,-	,-	,-	,-	,100	,-	,-	,6.05
19793,Premier League - 2021/2022,	28,https://www.whoscored.com/Players/437022/Show/Alejandro-Garnacho,Alejandro Garnacho,18,",  AM(L)  ",180,80,0(2),12	,-	,-	,-	,-	,-	,100	,-	,-	,5.98
19793,Premier League - 2021/2022,	29,https://www.whoscored.com/Players/416207/Show/Hannibal-Mejbri,Hannibal Mejbri,20,",  AM(C)  ",177,74,1(1),68	,-	,-	,2	,-	,0.5	,81	,-	,-	,5.97
20265,Champions League - 2021/2022,	1,https://www.whoscored.com/Players/5583/Show/Cristiano-Ronaldo,Cristiano Ronaldo,38,",  M(L),FW  ",187,83,7,612	,6	,-	,1	,-	,3.1	,85.8	,1.3	,2	,7.52
20265,Champions League - 2021/2022,	2,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,6(1),520	,-	,6	,-	,-	,1.4	,77.4	,0.1	,1	,7.25
20265,Champions League - 2021/2022,	3,https://www.whoscored.com/Players/243814/Show/Eric-Bailly,Eric Bailly,29,",  D(CR)  ",187,77,2,180	,-	,-	,-	,-	,-	,87.4	,1	,-	,7.18
20265,Champions League - 2021/2022,	4,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,3(1),292	,1	,-	,2	,-	,0.3	,87.1	,1.8	,-	,7.02
20265,Champions League - 2021/2022,	5,https://www.whoscored.com/Players/353418/Show/Diogo-Dalot,Diogo Dalot,24,",  D(LR),M(R)  ",183,76,2(1),233	,-	,-	,1	,-	,1.3	,80.6	,2.7	,-	,6.93
20265,Champions League - 2021/2022,	6,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,3(1),304	,1	,1	,1	,-	,0.8	,84.9	,-	,1	,6.88
20265,Champions League - 2021/2022,	7,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,5,398	,-	,2	,2	,-	,0.2	,82.8	,1.4	,-	,6.71
20265,Champions League - 2021/2022,	8,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,6,534	,1	,-	,-	,-	,0.7	,87.5	,1.8	,-	,6.70
20265,Champions League - 2021/2022,	9,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,5,400	,-	,-	,1	,-	,0.8	,86.6	,1.4	,-	,6.66
20265,Champions League - 2021/2022,	10,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,5(1),433	,-	,-	,1	,-	,0.8	,83.7	,0.5	,-	,6.66
20265,Champions League - 2021/2022,	11,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,5(1),419	,-	,-	,-	,1	,0.2	,85.2	,0.2	,-	,6.65
20265,Champions League - 2021/2022,	12,https://www.whoscored.com/Players/304008/Show/Dean-Henderson,Dean Henderson,26,",  GK  ",188,85,1,68	,-	,-	,-	,-	,-	,54.5	,1	,-	,6.59
20265,Champions League - 2021/2022,	13,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,5,426	,-	,-	,1	,-	,-	,91.5	,1	,-	,6.59
20265,Champions League - 2021/2022,	14,https://www.whoscored.com/Players/413211/Show/Anthony-Elanga,Anthony Elanga,21,",  AM(LR)  ",178,70,2(1),173	,1	,-	,-	,-	,1.3	,57.1	,1	,-	,6.55
20265,Champions League - 2021/2022,	15,https://www.whoscored.com/Players/346300/Show/Jadon-Sancho,Jadon Sancho,23,",  AM(CLR)  ",180,76,5(2),394	,1	,-	,-	,-	,0.7	,88.2	,0.1	,-	,6.55
20265,Champions League - 2021/2022,	16,https://www.whoscored.com/Players/93206/Show/Rapha%C3%ABl-Varane,Raphaël Varane,30,",  D(C)  ",191,81,4(1),353	,-	,-	,1	,-	,0.4	,89.7	,2.2	,-	,6.53
20265,Champions League - 2021/2022,	17,https://www.whoscored.com/Players/386634/Show/Amad-Diallo,Amad Diallo,20,",  AM(CR)  ",173,72,1,68	,-	,-	,-	,-	,2	,77.3	,-	,-	,6.50
20265,Champions League - 2021/2022,	18,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,7,630	,-	,-	,-	,-	,-	,68.6	,-	,1	,6.45
20265,Champions League - 2021/2022,	19,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,3(1),205	,-	,-	,1	,-	,0.3	,85.7	,0.3	,-	,6.39
20265,Champions League - 2021/2022,	20,https://www.whoscored.com/Players/24328/Show/Edinson-Cavani,Edinson Cavani,36,",  AM(LR),FW  ",184,71,0(4),76	,-	,1	,1	,-	,0.3	,74.3	,1	,-	,6.38
20265,Champions League - 2021/2022,	21,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,3(2),258	,1	,-	,1	,-	,2	,80.3	,1.2	,-	,6.37
20265,Champions League - 2021/2022,	22,https://www.whoscored.com/Players/388671/Show/Teden-Mengi,Teden Mengi,21,",  D(C)  ",183,78,0(1),29	,-	,-	,-	,-	,-	,72.7	,1	,-	,6.34
20265,Champions League - 2021/2022,	23,https://www.whoscored.com/Players/97752/Show/Paul-Pogba,Paul Pogba,30,",  M(CL)  ",191,84,4(2),347	,-	,-	,-	,-	,0.3	,82	,1.3	,-	,6.29
20265,Champions League - 2021/2022,	24,https://www.whoscored.com/Players/25363/Show/Juan-Mata,Juan Mata,35,",  AM(CLR)  ",170,63,1(2),96	,-	,-	,-	,-	,0.7	,88.9	,-	,-	,6.29
20265,Champions League - 2021/2022,	25,https://www.whoscored.com/Players/109000/Show/Jesse-Lingard,Jesse Lingard,30,",  AM(CLR),FW  ",175,62,1(3),116	,-	,1	,-	,-	,0.5	,86.4	,0.3	,-	,6.22
20265,Champions League - 2021/2022,	26,https://www.whoscored.com/Players/429514/Show/Zidane-Iqbal,Zidane Iqbal,20,",  Midfielder  ",181,71,0(1),1	,-	,-	,-	,-	,-	,75	,-	,-	,6.17
20265,Champions League - 2021/2022,	27,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,1(1),67	,-	,-	,-	,-	,-	,87.1	,-	,-	,6.16
20265,Champions League - 2021/2022,	28,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,1(7),195	,-	,-	,2	,-	,0.1	,85.4	,0.3	,-	,6.12
20265,Champions League - 2021/2022,	29,https://www.whoscored.com/Players/429512/Show/Charlie-Savage,Charlie Savage,20,",  M(C),FW  ",0,0,0(1),1	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.08
20265,Champions League - 2021/2022,	30,https://www.whoscored.com/Players/410512/Show/Shola-Shoretire,Shola Shoretire,19,",  AM(C),FW  ",170,0,0(1),22	,-	,-	,1	,-	,-	,80	,-	,-	,6.06
20265,Champions League - 2021/2022,	31,https://www.whoscored.com/Players/17708/Show/Tom-Heaton,Tom Heaton,37,",  GK  ",188,85,0(1),22	,-	,-	,-	,-	,-	,62.5	,-	,-	,6.00
19858,League Cup - 2021/2022,	1,https://www.whoscored.com/Players/243814/Show/Eric-Bailly,Eric Bailly,29,",  D(CR)  ",187,77,1,90	,-	,-	,-	,-	,3	,93.2	,7	,-	,7.34
19858,League Cup - 2021/2022,	2,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,1,90	,-	,-	,-	,-	,-	,87.3	,9	,-	,7.13
19858,League Cup - 2021/2022,	3,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,1,90	,-	,-	,-	,-	,-	,84.1	,2	,-	,7.06
19858,League Cup - 2021/2022,	4,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,1,90	,-	,-	,-	,-	,2	,84.4	,-	,-	,6.70
19858,League Cup - 2021/2022,	5,https://www.whoscored.com/Players/353418/Show/Diogo-Dalot,Diogo Dalot,24,",  D(LR),M(R)  ",183,76,1,90	,-	,-	,-	,-	,1	,85.4	,1	,-	,6.61
19858,League Cup - 2021/2022,	6,https://www.whoscored.com/Players/25363/Show/Juan-Mata,Juan Mata,35,",  AM(CLR)  ",170,63,1,62	,-	,-	,-	,-	,2	,81.3	,-	,-	,6.56
19858,League Cup - 2021/2022,	7,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,0(1),28	,-	,-	,-	,-	,2	,69.2	,-	,-	,6.51
19858,League Cup - 2021/2022,	8,https://www.whoscored.com/Players/346300/Show/Jadon-Sancho,Jadon Sancho,23,",  AM(CLR)  ",180,76,1,90	,-	,-	,-	,-	,5	,84.1	,1	,-	,6.50
19858,League Cup - 2021/2022,	9,https://www.whoscored.com/Players/109000/Show/Jesse-Lingard,Jesse Lingard,30,",  AM(CLR),FW  ",175,62,1,72	,-	,-	,-	,-	,4	,88.4	,-	,-	,6.48
19858,League Cup - 2021/2022,	10,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,1,90	,-	,-	,-	,-	,3	,89.5	,-	,-	,6.36
19858,League Cup - 2021/2022,	11,https://www.whoscored.com/Players/304008/Show/Dean-Henderson,Dean Henderson,26,",  GK  ",188,85,1,90	,-	,-	,-	,-	,-	,78.3	,-	,-	,6.29
19858,League Cup - 2021/2022,	12,https://www.whoscored.com/Players/413211/Show/Anthony-Elanga,Anthony Elanga,21,",  AM(LR)  ",178,70,0(1),17	,-	,-	,-	,-	,-	,72.7	,-	,-	,6.27
19858,League Cup - 2021/2022,	13,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,0(1),18	,-	,-	,-	,-	,3	,80	,-	,-	,6.16
19858,League Cup - 2021/2022,	14,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,1,73	,-	,-	,-	,-	,2	,79.5	,-	,-	,6.08
18979,Champions League - 2020/2021,	1,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,5(1),416	,6	,-	,-	,-	,3.2	,79.3	,-	,1	,7.69
18979,Champions League - 2020/2021,	2,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,5(1),439	,4	,1	,1	,-	,3.3	,74	,0.3	,1	,7.49
18979,Champions League - 2020/2021,	3,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,5,429	,2	,1	,-	,-	,1.8	,79	,1.6	,1	,7.34
18979,Champions League - 2020/2021,	4,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,4,331	,-	,1	,1	,-	,0.5	,81.8	,0.8	,1	,7.16
18979,Champions League - 2020/2021,	5,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,3(2),342	,-	,-	,1	,-	,1.2	,83.9	,1.2	,-	,6.91
18979,Champions League - 2020/2021,	6,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,6,473	,-	,1	,-	,-	,-	,79	,0.3	,-	,6.81
18979,Champions League - 2020/2021,	7,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,2(3),209	,1	,1	,-	,-	,2	,85.1	,0.2	,-	,6.77
18979,Champions League - 2020/2021,	8,https://www.whoscored.com/Players/97752/Show/Paul-Pogba,Paul Pogba,30,",  M(CL)  ",191,84,1(4),178	,-	,2	,-	,-	,0.8	,82.2	,1	,-	,6.72
18979,Champions League - 2020/2021,	9,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,5,450	,-	,-	,2	,-	,0.6	,87.5	,3.4	,-	,6.67
18979,Champions League - 2020/2021,	10,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,5,450	,-	,-	,-	,-	,-	,72.6	,-	,-	,6.64
18979,Champions League - 2020/2021,	11,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,4,293	,-	,-	,-	,-	,-	,74.1	,0.8	,-	,6.58
18979,Champions League - 2020/2021,	12,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,4,340	,-	,-	,-	,1	,0.8	,87.8	,0.3	,-	,6.56
18979,Champions League - 2020/2021,	13,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,3(1),222	,-	,-	,1	,-	,0.3	,88.7	,1.8	,-	,6.53
18979,Champions League - 2020/2021,	14,https://www.whoscored.com/Players/302313/Show/Dan-James,Dan James,25,",  AM(CLR),FW  ",171,63,0(2),33	,1	,-	,-	,-	,0.5	,80	,-	,-	,6.48
18979,Champions League - 2020/2021,	15,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,3(3),277	,-	,-	,-	,-	,0.2	,86.8	,0.3	,-	,6.46
18979,Champions League - 2020/2021,	16,https://www.whoscored.com/Players/24328/Show/Edinson-Cavani,Edinson Cavani,36,",  AM(LR),FW  ",184,71,2(2),207	,-	,-	,-	,-	,1	,82.1	,0.5	,-	,6.42
18979,Champions League - 2020/2021,	17,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,5,393	,-	,-	,1	,-	,0.4	,87.4	,0.8	,-	,6.38
18979,Champions League - 2020/2021,	18,https://www.whoscored.com/Players/312739/Show/Timothy-Fosu-Mensah,Timothy Fosu-Mensah,25,",  D(CR)  ",185,80,0(2),27	,-	,-	,-	,-	,-	,88.2	,-	,-	,6.34
18979,Champions League - 2020/2021,	19,https://www.whoscored.com/Players/299271/Show/Axel-Tuanzebe,Axel Tuanzebe,25,",  D(CR)  ",186,75,2(3),203	,-	,-	,3	,-	,0.2	,88.6	,0.6	,-	,6.28
18979,Champions League - 2020/2021,	20,https://www.whoscored.com/Players/384143/Show/Brandon-Williams,Brandon Williams,22,",  D(L),M(L)  ",171,63,0(2),60	,-	,-	,1	,-	,-	,85.2	,0.5	,-	,6.19
18979,Champions League - 2020/2021,	21,https://www.whoscored.com/Players/31376/Show/Odion-Ighalo,Odion Ighalo,33,",  AM(C),FW  ",185,80,0(1),1	,-	,-	,-	,-	,-	,100	,-	,-	,6.00
18979,Champions League - 2020/2021,	22,https://www.whoscored.com/Players/304008/Show/Dean-Henderson,Dean Henderson,26,",  GK  ",188,85,1,90	,-	,-	,-	,-	,-	,84.6	,-	,-	,5.64
18979,Champions League - 2020/2021,	23,https://www.whoscored.com/Players/25363/Show/Juan-Mata,Juan Mata,35,",  AM(CLR)  ",170,63,1,61	,-	,-	,-	,-	,-	,92.9	,-	,-	,5.08
19164,Europa League - 2020/2021,	1,https://www.whoscored.com/Players/24328/Show/Edinson-Cavani,Edinson Cavani,36,",  AM(LR),FW  ",184,71,4(1),367	,6	,2	,2	,-	,3	,80.5	,0.4	,2	,7.90
19164,Europa League - 2020/2021,	2,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,9,749	,5	,4	,-	,-	,2.9	,80.5	,0.6	,2	,7.63
19164,Europa League - 2020/2021,	3,https://www.whoscored.com/Players/304008/Show/Dean-Henderson,Dean Henderson,26,",  GK  ",188,85,4,360	,-	,-	,-	,-	,-	,70	,0.5	,-	,7.30
19164,Europa League - 2020/2021,	4,https://www.whoscored.com/Players/97752/Show/Paul-Pogba,Paul Pogba,30,",  M(CL)  ",191,84,5(1),435	,2	,1	,3	,-	,1.3	,83	,1.8	,1	,7.28
19164,Europa League - 2020/2021,	5,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,6,540	,-	,1	,2	,-	,1	,87.3	,0.8	,-	,7.11
19164,Europa League - 2020/2021,	6,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,9,728	,-	,-	,2	,-	,0.2	,87.3	,0.7	,-	,7.02
19164,Europa League - 2020/2021,	7,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,6,570	,-	,1	,1	,-	,-	,91.6	,1.7	,-	,7.00
19164,Europa League - 2020/2021,	8,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,6,540	,-	,-	,1	,-	,0.8	,90.7	,2.2	,-	,6.97
19164,Europa League - 2020/2021,	9,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,5,480	,-	,-	,-	,-	,-	,72.5	,0.2	,1	,6.94
19164,Europa League - 2020/2021,	10,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,5(2),438	,2	,-	,-	,-	,2.1	,81.1	,0.3	,-	,6.87
19164,Europa League - 2020/2021,	11,https://www.whoscored.com/Players/302313/Show/Dan-James,Dan James,25,",  AM(CLR),FW  ",171,63,5(2),438	,1	,1	,-	,-	,1	,82.7	,1	,-	,6.86
19164,Europa League - 2020/2021,	12,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,6(2),525	,-	,2	,2	,-	,0.5	,88.1	,-	,-	,6.85
19164,Europa League - 2020/2021,	13,https://www.whoscored.com/Players/243814/Show/Eric-Bailly,Eric Bailly,29,",  D(CR)  ",187,77,5,476	,-	,1	,1	,-	,0.4	,92.5	,2	,-	,6.83
19164,Europa League - 2020/2021,	14,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,3(4),350	,-	,-	,1	,-	,-	,89.7	,0.3	,1	,6.74
19164,Europa League - 2020/2021,	15,https://www.whoscored.com/Players/386634/Show/Amad-Diallo,Amad Diallo,20,",  AM(CR)  ",173,72,0(4),91	,1	,-	,-	,-	,0.3	,80.6	,0.3	,-	,6.73
19164,Europa League - 2020/2021,	16,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,5(1),408	,-	,-	,2	,-	,0.5	,86.3	,1.5	,-	,6.70
19164,Europa League - 2020/2021,	17,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,8(1),710	,1	,-	,-	,-	,1.1	,84.2	,-	,-	,6.60
19164,Europa League - 2020/2021,	18,https://www.whoscored.com/Players/299271/Show/Axel-Tuanzebe,Axel Tuanzebe,25,",  D(CR)  ",186,75,1(2),139	,-	,-	,-	,-	,-	,92.9	,0.7	,-	,6.56
19164,Europa League - 2020/2021,	19,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,4(3),451	,-	,-	,-	,-	,0.3	,82.2	,0.7	,-	,6.45
19164,Europa League - 2020/2021,	20,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,2(1),158	,-	,-	,-	,-	,1.3	,82.2	,0.7	,-	,6.38
19164,Europa League - 2020/2021,	21,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,1(2),140	,-	,-	,-	,-	,0.3	,78.5	,0.7	,-	,6.35
19164,Europa League - 2020/2021,	22,https://www.whoscored.com/Players/25363/Show/Juan-Mata,Juan Mata,35,",  AM(CLR)  ",170,63,0(5),32	,-	,-	,-	,-	,0.2	,82.6	,-	,-	,6.11
19164,Europa League - 2020/2021,	23,https://www.whoscored.com/Players/384143/Show/Brandon-Williams,Brandon Williams,22,",  D(L),M(L)  ",171,63,0(4),114	,-	,-	,2	,-	,0.3	,89.4	,0.5	,-	,6.07
19164,Europa League - 2020/2021,	24,https://www.whoscored.com/Players/410512/Show/Shola-Shoretire,Shola Shoretire,19,",  AM(C),FW  ",170,0,0(1),14	,-	,-	,-	,-	,-	,100	,-	,-	,6.06
18685,Premier League - 2020/2021,	1,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,35(2),3110	,18	,12	,6	,-	,3.3	,78.3	,0.4	,6	,7.43
18685,Premier League - 2020/2021,	2,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,34,3060	,2	,4	,3	,-	,0.2	,84.9	,1.1	,3	,7.15
